chunk_id,doc_id,chunk_text,effective_date,exported_at,reason,effective_date_normalized
24,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-08-21,2026-04-04T00:00:00,unknown_doc_id,
26,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-12-09,2026-04-04T00:00:00,unknown_doc_id,
27,data_privacy_guideline,,2025-05-15,2026-04-04T00:00:00,unknown_doc_id,
28,it_helpdesk_faq,,2026-03-21,2026-04-06T00:00:00,missing_chunk_text,
29,data_privacy_guideline,Nội dung không rõ ràng: Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,26/05/2025,2026-04-09T00:00:00,unknown_doc_id,
30,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-04,2026-04-06T00:00:00,unknown_doc_id,
31,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,,2026-04-06T00:00:00,missing_effective_date,
32,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-12-06,2026-04-10T00:00:00,stale_hr_policy_effective_date,2025-12-06
33,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-02-18,2026-04-02T00:00:00,unknown_doc_id,
34,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-08-27,2026-04-07T00:00:00,unknown_doc_id,
36,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-10,2026-04-07T00:00:00,stale_hr_version_marker,
37,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-11-30,2026/04/04T00:00:00,unknown_doc_id,
38,hr_leave_policy,Nội dung không rõ ràng:,2025-09-26,2026-04-08T00:00:00,stale_hr_policy_effective_date,2025-09-26
39,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-12-25,2026-04-10T00:00:00,duplicate_chunk_text,
41,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền. Ghi chú: bản sync cũ policy-v3 — lỗi migration.,2025-12-09,2026-04-05T00:00:00,unknown_doc_id,
42,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-17,2026-04-11T00:00:00,unknown_doc_id,
43,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-03-04,2026-04-02T00:00:00,stale_hr_policy_effective_date,2025-03-04
44,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-04,2026-04-01T00:00:00,duplicate_chunk_text,
45,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,07/02/2025,2026-04-06T00:00:00,unknown_doc_id,
46,legacy_catalog_xyz_zzz,Nội dung không rõ ràng: Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-03-11,2026-04-02T00:00:00,unknown_doc_id,
47,invalid_doc_xyyyxz,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-04-01,2026-04-08T00:00:00,unknown_doc_id,
48,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,16/10/2025,2026-04-07T00:00:00,unknown_doc_id,
49,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-04-14,2026-04-02T00:00:00,duplicate_chunk_text,
50,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-01-06,2026-04-02T00:00:00,unknown_doc_id,
51,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-12-29,2026-04-09T00:00:00,unknown_doc_id,
52,invalid_doc_zyxyzz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-08-25,2026-04-11T00:00:00,unknown_doc_id,
53,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-03-27,2026-04-02T00:00:00,unknown_doc_id,
54,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-01-02,2026-04-01T00:00:00,unknown_doc_id,
55,policy_refund_v4,Nội dung không rõ ràng: Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-07-10,2026/04/07T00:00:00,duplicate_chunk_text,
56,sla_p1_2026,Nội dung không rõ ràng: !!!Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,17/11/2025,2026-04-06T00:00:00,duplicate_chunk_text,
57,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-11-26,2026-04-07T00:00:00,duplicate_chunk_text,
58,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-14,2026-04-11T00:00:00,stale_hr_version_marker,
59,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-04-22,2026-04-04T00:00:00,duplicate_chunk_text,
60,data_privacy_guideline,Nội dung không rõ ràng: Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-11-19,2026-04-04T00:00:00,unknown_doc_id,
61,invalid_doc_zxyzxz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-15,2026-04-09T00:00:00,unknown_doc_id,
62,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,,2026-04-09T00:00:00,unknown_doc_id,
63,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,01/04/2025,2026-04-03T00:00:00,duplicate_chunk_text,
64,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,17/03/2026,2026/04/06T00:00:00,unknown_doc_id,
65,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2025-09-15,2026-04-11T00:00:00,stale_hr_policy_effective_date,2025-09-15
66,invalid_doc_xyxyxy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,06/03/2025,2026-04-11T00:00:00,unknown_doc_id,
67,legacy_catalog_xyz_zzz,,2025-09-02,2026-04-01T00:00:00,unknown_doc_id,
68,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-05-21,2026-04-11T00:00:00,unknown_doc_id,
69,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-06-25,2026-04-05T00:00:00,duplicate_chunk_text,
70,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-15,2026-04-06T00:00:00,stale_hr_policy_effective_date,2025-09-15
71,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-10-19,2026-04-02T00:00:00,unknown_doc_id,
72,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-11-18,2026-04-08T00:00:00,unknown_doc_id,
73,invalid_doc_xxyzyy,,2025-06-07,2026-04-04T00:00:00,unknown_doc_id,
74,invalid_doc_xzzxxy,,2025-06-13,2026/04/02T00:00:00,unknown_doc_id,
75,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-11-28,2026-04-06T00:00:00,duplicate_chunk_text,
76,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-06,2026-04-03T00:00:00,stale_hr_version_marker,
77,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-01-29,2026-04-09T00:00:00,unknown_doc_id,
78,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-01-28,2026-04-10T00:00:00,unknown_doc_id,
79,invalid_doc_zzzyxz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-01-25,2026-04-05T00:00:00,unknown_doc_id,
80,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-05-10,2026-04-07T00:00:00,duplicate_chunk_text,
81,invalid_doc_yzzxxz,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-12,2026-04-08T00:00:00,unknown_doc_id,
83,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-05-14,2026-04-02T00:00:00,duplicate_chunk_text,
84,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2026-02-05,2026/04/05T00:00:00,duplicate_chunk_text,
85,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-01-06,2026-04-04T00:00:00,duplicate_chunk_text,
86,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-17,2026-04-07T00:00:00,duplicate_chunk_text,
87,data_privacy_guideline,!!!Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-02-28,2026/04/06T00:00:00,unknown_doc_id,
88,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-10,2026-04-02T00:00:00,stale_hr_policy_effective_date,2025-09-10
89,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-04-21,2026-04-05T00:00:00,duplicate_chunk_text,
90,data_privacy_guideline,Nội dung không rõ ràng: !!!Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-08-26,2026-04-06T00:00:00,unknown_doc_id,
91,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-04-24,2026-04-02T00:00:00,duplicate_chunk_text,
92,data_privacy_guideline,,2025-06-29,2026-04-07T00:00:00,unknown_doc_id,
93,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-01-07,2026-04-01T00:00:00,stale_hr_version_marker,
94,policy_refund_v4,!!!Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-04-01,2026-04-07T00:00:00,duplicate_chunk_text,
95,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-12-18,2026-04-11T00:00:00,unknown_doc_id,
96,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-25,2026-04-07T00:00:00,unknown_doc_id,
97,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-09-04,2026-04-09T00:00:00,unknown_doc_id,
98,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,23/04/2025,2026-04-02T00:00:00,unknown_doc_id,
99,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-12-20,2026-04-03T00:00:00,duplicate_chunk_text,
100,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-09-30,2026-04-05T00:00:00,duplicate_chunk_text,
101,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-02-18,2026-04-04T00:00:00,duplicate_chunk_text,
102,invalid_doc_yzyzxx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-01,2026-04-08T00:00:00,unknown_doc_id,
103,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-02-22,2026-04-09T00:00:00,unknown_doc_id,
104,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-17,2026-04-05T00:00:00,unknown_doc_id,
105,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-03-05,2026-04-04T00:00:00,duplicate_chunk_text,
106,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-09-22,2026/04/11T00:00:00,unknown_doc_id,
107,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-03-15,2026-04-04T00:00:00,duplicate_chunk_text,
108,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-24,2026-04-06T00:00:00,unknown_doc_id,
109,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-24,2026-04-06T00:00:00,duplicate_chunk_text,
110,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-10-07,2026-04-03T00:00:00,stale_hr_policy_effective_date,2025-10-07
111,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,,2026-04-11T00:00:00,missing_effective_date,
112,invalid_doc_zzxxzx,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-02-06,2026-04-09T00:00:00,unknown_doc_id,
113,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-07-01,2026-04-11T00:00:00,unknown_doc_id,
114,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-06-16,2026/04/07T00:00:00,unknown_doc_id,
115,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-09-06,2026-04-05T00:00:00,unknown_doc_id,
116,invalid_doc_xzxzzz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-13,2026-04-03T00:00:00,unknown_doc_id,
117,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-11-18,2026-04-04T00:00:00,unknown_doc_id,
118,it_helpdesk_faq,,2025-04-05,2026-04-06T00:00:00,missing_chunk_text,
119,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-03-13,2026-04-01T00:00:00,unknown_doc_id,
120,legacy_catalog_xyz_zzz,,2026-03-27,2026-04-05T00:00:00,unknown_doc_id,
121,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-07-24,2026-04-10T00:00:00,unknown_doc_id,
122,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,,2026-04-08T00:00:00,missing_effective_date,
123,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,,2026-04-03T00:00:00,unknown_doc_id,
124,invalid_doc_xzyyyx,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-18,2026-04-03T00:00:00,unknown_doc_id,
125,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-01,2026-04-07T00:00:00,unknown_doc_id,
126,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-28,2026/04/09T00:00:00,unknown_doc_id,
127,data_privacy_guideline,,2026-01-02,2026-04-11T00:00:00,unknown_doc_id,
128,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-03-16,2026-04-01T00:00:00,unknown_doc_id,
129,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-02-07,2026-04-07T00:00:00,unknown_doc_id,
130,sla_p1_2026,,2025-09-06,2026-04-06T00:00:00,missing_chunk_text,
131,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-07-03,2026-04-10T00:00:00,duplicate_chunk_text,
132,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-05-01,2026-04-06T00:00:00,unknown_doc_id,
133,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-08-17,2026-04-09T00:00:00,duplicate_chunk_text,
134,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-10-16,2026-04-04T00:00:00,duplicate_chunk_text,
135,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-13,2026-04-10T00:00:00,unknown_doc_id,
136,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-11-12,2026-04-03T00:00:00,stale_hr_policy_effective_date,2025-11-12
137,invalid_doc_zyxyyx,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-12-08,2026-04-10T00:00:00,unknown_doc_id,
138,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-04-28,2026-04-09T00:00:00,unknown_doc_id,
139,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-03-13,2026-04-02T00:00:00,unknown_doc_id,
140,invalid_doc_xyyyxy,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,,2026-04-11T00:00:00,unknown_doc_id,
141,sla_p1_2026,Nội dung không rõ ràng: Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-01-18,2026-04-01T00:00:00,duplicate_chunk_text,
142,policy_refund_v4,,2026-02-17,2026-04-09T00:00:00,missing_chunk_text,
143,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-12,2026/04/09T00:00:00,duplicate_chunk_text,
144,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-18,2026-04-11T00:00:00,duplicate_chunk_text,
145,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-04-14,2026-04-04T00:00:00,unknown_doc_id,
146,sla_p1_2026,,2026-02-07,2026-04-01T00:00:00,missing_chunk_text,
147,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-05-18,2026-04-02T00:00:00,unknown_doc_id,
148,invalid_doc_zzyyzx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-08-09,2026-04-09T00:00:00,unknown_doc_id,
149,legacy_catalog_xyz_zzz,,2026-01-04,2026-04-11T00:00:00,unknown_doc_id,
150,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-05-13,2026-04-04T00:00:00,duplicate_chunk_text,
151,invalid_doc_xzxxzx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-01-25,2026-04-07T00:00:00,unknown_doc_id,
152,data_privacy_guideline,Nội dung không rõ ràng: Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-09,2026-04-02T00:00:00,unknown_doc_id,
153,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-07,2026-04-05T00:00:00,duplicate_chunk_text,
154,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,12/04/2025,2026-04-03T00:00:00,stale_hr_policy_effective_date,2025-04-12
155,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-17,2026/04/09T00:00:00,stale_hr_version_marker,
156,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-10-18,2026-04-05T00:00:00,stale_hr_policy_effective_date,2025-10-18
157,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-14,2026/04/07T00:00:00,unknown_doc_id,
158,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-04,2026-04-04T00:00:00,unknown_doc_id,
159,hr_leave_policy,,2025-12-14,2026-04-03T00:00:00,stale_hr_policy_effective_date,2025-12-14
160,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,22/12/2025,2026-04-02T00:00:00,stale_hr_policy_effective_date,2025-12-22
161,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-12-06,2026-04-04T00:00:00,unknown_doc_id,
162,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-09,2026-04-02T00:00:00,unknown_doc_id,
163,sla_p1_2026,,2025-09-15,2026-04-11T00:00:00,missing_chunk_text,
164,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-09-27,2026-04-11T00:00:00,duplicate_chunk_text,
165,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-09-19,2026-04-09T00:00:00,unknown_doc_id,
166,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-05-03,2026-04-08T00:00:00,duplicate_chunk_text,
167,invalid_doc_yxyxxx,,2025-04-18,2026-04-06T00:00:00,unknown_doc_id,
168,invalid_doc_zzyxyx,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-03-03,2026-04-06T00:00:00,unknown_doc_id,
169,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày làm việc phép năm (bản HR 2025).,2025-11-04,2026-04-06T00:00:00,stale_hr_policy_effective_date,2025-11-04
170,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-10-07,2026-04-01T00:00:00,duplicate_chunk_text,
171,hr_leave_policy,,2025-11-07,2026-04-10T00:00:00,stale_hr_policy_effective_date,2025-11-07
172,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-07-22,2026/04/11T00:00:00,unknown_doc_id,
173,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-08-07,2026-04-09T00:00:00,duplicate_chunk_text,
